,ETABLISSEMENT,newBeds,ville
0,HVS - Hôpital psychiatrique de Malévoz,60.0,Monthey
1,HVS - Clinique de Saint-Amé,40.0,St-Maurice
3,HVS - Hôpital de Martigny,20.0,Martigny
4,HVS - Hôpital de Sion,22.0,Sitten
5,HVS - Institut Central des Hôpitaux ICH,30.0,Sion
6,HVS - Hôpital de Sierre,60.0,Sierre
7,HVS - Centre Valaisan de Pneumologie (CVP),24.0,Crans-Montana
8,HVS - Hôpital de Brigue,90.0,
9,HVS - Hôpital de Viège,46.0,Visp
10,HRC - Hôpital de Monthey,,Monthey
11,HRC - Hôpital d'Aigle,46.0,Aigle
12,HRC - Hôpital de Vevey la Providence,68.0,Vevey
13,Clinique de Valère,24.0,Sitten
14,Clinique CIC Valais,86.0,Saxon
15,Leukerbad Clinic,66.0,Leukerbad
16,Berner Klinik Montana,88.0,Crans-Montana
17,Clinique de Berne Montana,88.0,Crans-Montana
18,Luzerner Höhenklinik Montana,44.0,Crans-Montana
19,Clinique romande de réadaptation (CRR SUVA),66.0,Sion
20,HRC - Hôpital de Vevey le Samaritain,100.0,VEVEY
21,HRC - Hôpital de Fully,10000.0,Fully
22,HRC - Hôpital de Montreux,66.0,Montreux
23,HVS - Psychiatriezentrum Oberwallis,84.0,BRIG
24,HUG-Clinique de Crans-Montana,44.0,Crans-Montana
